"LSOA21CD","LSOA11CD","postcode_count","postcode_pct"
"E01000546","E01000546",34,1
"E01000547","E01000547",28,1
"E01000548","E01000548",44,1
"E01000549","E01000549",25,1
"E01000550","E01000550",119,1
"E01000551","E01000551",39,1
"E01000552","E01000552",26,1
"E01000553","E01000553",34,1
"E01000554","E01000554",35,1
"E01000555","E01000555",39,1
"E01000556","E01000556",35,0.972222222222222
"E01000556","E01000557",1,0.0277777777777778
"E01000557","E01000557",28,1
"E01000558","E01000558",25,1
"E01000559","E01000559",22,1
"E01000560","E01000560",28,1
"E01000561","E01000561",28,1
"E01000562","E01000562",24,1
"E01000563","E01000563",31,1
"E01000564","E01000564",28,1
"E01000565","E01000565",26,1
"E01000566","E01000566",26,1
"E01000567","E01000567",26,1
"E01000568","E01000568",28,1
"E01000569","E01000569",23,1
"E01000570","E01000570",25,1
"E01000571","E01000571",26,1
"E01000572","E01000572",21,1
"E01000573","E01000573",21,1
"E01000574","E01000574",19,1
"E01000575","E01000575",29,1
"E01000576","E01000576",24,1
"E01000577","E01000577",43,1
"E01000578","E01000578",42,1
"E01000579","E01000579",31,1
"E01000580","E01000580",52,1
"E01000581","E01000581",25,1
"E01000582","E01000582",29,1
"E01000583","E01000583",38,1
"E01000584","E01000584",20,1
"E01000585","E01000585",26,1
"E01000586","E01000579",1,0.0158730158730159
"E01000586","E01000584",1,0.0158730158730159
"E01000586","E01000586",61,0.968253968253968
"E01000587","E01000587",26,1
"E01000589","E01000589",33,1
"E01000590","E01000590",37,1
"E01000591","E01000591",31,1
"E01000592","E01000592",27,1
"E01000593","E01000593",26,1
"E01000594","E01000594",31,1
"E01000595","E01000595",33,1
"E01000596","E01000596",35,1
"E01000599","E01000599",30,1
"E01000601","E01000601",34,1
"E01000602","E01000602",22,1
"E01000603","E01000603",21,1
"E01000604","E01000604",25,1
"E01000605","E01000605",31,0.96875
"E01000605","E01033456",1,0.03125
"E01000606","E01000606",21,1
"E01000607","E01000607",30,1
"E01000608","E01000608",50,1
"E01000609","E01000609",30,1
"E01000610","E01000610",45,1
"E01000611","E01000611",14,1
"E01000612","E01000612",71,1
"E01000613","E01000610",2,0.0689655172413793
"E01000613","E01000613",27,0.931034482758621
"E01000615","E01000615",69,1
"E01000616","E01000616",27,1
"E01000617","E01000617",43,1
"E01000618","E01000618",31,1
"E01000619","E01000619",25,1
"E01000620","E01000620",28,1
"E01000621","E01000621",23,1
"E01000622","E01000622",19,1
"E01000623","E01000623",28,1
"E01000624","E01000624",45,1
"E01000625","E01000625",31,1
"E01000626","E01000626",23,1
"E01000627","E01000627",37,1
"E01000628","E01000628",30,1
"E01000629","E01000629",26,1
"E01000630","E01000630",41,0.953488372093023
"E01000630","E01000635",2,0.0465116279069767
"E01000631","E01000631",22,1
"E01000632","E01000632",26,1
"E01000633","E01000633",38,1
"E01000634","E01000634",35,1
"E01000636","E01000636",34,1
"E01000637","E01000637",23,1
"E01000638","E01000638",33,1
"E01000639","E01000639",43,1
"E01000640","E01000638",1,0.0227272727272727
"E01000640","E01000640",43,0.977272727272727
"E01000641","E01000641",23,1
"E01000642","E01000642",47,1
"E01000643","E01000643",40,1
"E01000644","E01000488",1,0.027027027027027
"E01000644","E01000644",36,0.972972972972973
"E01000645","E01000645",53,1
"E01000646","E01000646",32,1
"E01000647","E01000646",1,0.0344827586206897
"E01000647","E01000647",28,0.96551724137931
"E01000648","E01000648",40,1
"E01000649","E01000649",55,1
"E01000650","E01000649",1,0.0188679245283019
"E01000650","E01000650",52,0.981132075471698
"E01000651","E01000651",34,1
"E01000652","E01000652",34,1
"E01000653","E01000653",35,1
"E01000654","E01000654",33,1
"E01000655","E01000655",28,1
"E01000656","E01000656",35,1
"E01000657","E01000657",47,0.979166666666667
"E01000657","E01032570",1,0.0208333333333333
"E01000658","E01000656",1,0.0303030303030303
"E01000658","E01000657",1,0.0303030303030303
"E01000658","E01000658",31,0.939393939393939
"E01000659","E01000659",25,1
"E01000661","E01000661",51,0.980769230769231
"E01000661","E01000662",1,0.0192307692307692
"E01000662","E01000662",26,1
"E01000663","E01000663",23,0.958333333333333
"E01000663","E01000664",1,0.0416666666666667
"E01000664","E01000664",28,1
"E01000665","E01000665",44,1
"E01000666","E01000666",61,1
"E01000667","E01000667",37,1
"E01000668","E01000668",44,1
"E01000669","E01000669",24,1
"E01000670","E01000670",42,1
"E01000671","E01000671",37,1
"E01000672","E01000672",34,1
"E01000673","E01000673",28,1
"E01000674","E01000674",41,1
"E01000676","E01000676",214,1
"E01000677","E01000677",39,1
"E01000678","E01000678",30,1
"E01000679","E01000679",32,1
"E01000680","E01000680",86,1
"E01000681","E01000681",28,1
"E01000682","E01000682",33,1
"E01000683","E01000683",34,1
"E01000684","E01000684",39,1
"E01000685","E01000685",28,1
"E01000686","E01000686",33,1
"E01000687","E01000687",41,1
"E01000688","E01000688",23,1
"E01000689","E01000689",30,1
"E01000690","E01000690",27,1
"E01000691","E01000691",27,1
"E01000692","E01000692",32,1
"E01000693","E01000693",66,0.985074626865672
"E01000693","E01000696",1,0.0149253731343284
"E01000694","E01000694",41,1
"E01000695","E01000695",37,1
"E01000696","E01000696",54,0.981818181818182
"E01000696","E01000697",1,0.0181818181818182
"E01000697","E01000697",52,1
"E01000698","E01000698",27,1
"E01000699","E01000699",22,1
"E01000700","E01000700",31,1
"E01000701","E01000701",20,1
"E01000702","E01000702",19,1
"E01000703","E01000703",44,1
"E01000704","E01000704",27,1
"E01000705","E01000705",20,1
"E01000706","E01000706",33,0.970588235294118
"E01000706","E01000708",1,0.0294117647058824
"E01000707","E01000707",21,1
"E01000708","E01000708",29,1
"E01000709","E01000709",49,1
"E01000710","E01000710",78,1
"E01000711","E01000711",45,1
"E01000712","E01000712",48,0.979591836734694
"E01000712","E01000714",1,0.0204081632653061
"E01000713","E01000713",49,1
"E01000714","E01000714",60,0.983606557377049
"E01000714","E01000770",1,0.0163934426229508
"E01000715","E01000715",45,1
"E01000716","E01000716",32,0.96969696969697
"E01000716","E01000772",1,0.0303030303030303
"E01000717","E01000717",52,1
"E01000718","E01000718",40,1
"E01000719","E01000719",43,1
"E01000720","E01000720",48,1
"E01000721","E01000719",1,0.0285714285714286
"E01000721","E01000721",34,0.971428571428571
"E01000722","E01000722",57,0.966101694915254
