"lsoa11","all_gs_access_pct","all_with_row__gs_access_pct","doorstep_gs_access_pct","local_gs_access_pct","neighbourhood_gs_access_pct","combined_std__gs_access_pct","partialcombined_std_gs_access_pct"
"E01000224",1,1,0.147457627118644,0.0440677966101695,1,0.0491525423728814,0.255932203389831
"E01000225",1,1,0.0889621087314662,0.191103789126853,1,0.118616144975288,0.250411861614498
"E01000226",1,1,0.00311526479750779,0.0778816199376947,1,0.00623052959501558,0.135514018691589
"E01000227",0.368506493506494,0.368506493506494,0,0,0.368506493506494,0,0
"E01000228",0.306122448979592,0.306122448979592,0.197959183673469,0,0.306122448979592,0,0.244897959183673
"E01000229",0.996732026143791,0.996732026143791,0.359477124183007,0.547385620915033,0.996732026143791,0.508169934640523,0.601307189542484
"E01000230",0.982300884955752,0.982300884955752,0.00589970501474926,0.0486725663716814,0.982300884955752,0.0501474926253687,0.0501474926253687
"E01000231",1,1,0.126126126126126,0.277777777777778,1,0.117117117117117,0.331831831831832
"E01000232",0.935013262599469,0.935013262599469,0,0.0225464190981432,0.935013262599469,0.0013262599469496,0.0503978779840849
"E01000233",0.522627737226277,0.522627737226277,0,0,0.522627737226277,0,0
"E01000234",0.947297297297297,0.947297297297297,0,0.0148648648648649,0.947297297297297,0,0.0297297297297297
"E01000235",1,1,0.362670713201821,0.682852807283763,1,0.479514415781487,0.728376327769347
"E01000236",1,1,0.39448275862069,0.659310344827586,1,0.513103448275862,0.721379310344828
"E01000237",1,1,0.20910209102091,0.334563345633456,1,0.269372693726937,0.343173431734317
"E01000238",1,1,0.233983286908078,0.534818941504178,1,0.224233983286908,0.600278551532033
"E01000239",0.815573770491803,0.815573770491803,0.0932377049180328,0.213114754098361,0.815573770491803,0.108606557377049,0.220286885245902
"E01000240",1,1,0.570175438596491,0.77046783625731,1,0.590643274853801,0.833333333333333
"E01000241",1,1,0.274666666666667,0.530666666666667,1,0.374666666666667,0.610666666666667
"E01000242",1,1,0.0825174825174825,0.165034965034965,1,0.152447552447552,0.211188811188811
"E01000243",1,1,0,0.048048048048048,1,0,0.0600600600600601
"E01000244",1,1,0.0846063454759107,0.254994124559342,1,0.155111633372503,0.340775558166863
"E01000245",1,1,0.0161117078410312,0.0451127819548872,1,0.0193340494092374,0.0612244897959184
"E01000246",1,1,0.20384047267356,0.259970457902511,1,0.225997045790251,0.364844903988183
"E01000247",1,1,0.147519582245431,0.135770234986945,0.989556135770235,0.0939947780678851,0.221932114882507
"E01000248",1,1,0.219160104986877,0.0170603674540682,1,0,0.313648293963255
"E01000249",1,1,0.0397553516819572,0.0749235474006116,0.865443425076453,0.0581039755351682,0.148318042813456
"E01000250",1,1,0.186804451510334,0.212241653418124,0.885532591414944,0.129570747217806,0.389507154213037
"E01000251",1,1,0,0,0.552486187845304,0,0.0322283609576427
"E01000252",1,1,0.318877551020408,0,0.669642857142857,0,0.341836734693878
"E01000253",0.991379310344828,0.991379310344828,0.133620689655172,0.277298850574713,0.982758620689655,0.15948275862069,0.40948275862069
"E01000254",1,1,0.279001468428781,0.400881057268722,1,0.324522760646109,0.486049926578561
"E01000255",0.922178988326848,0.922178988326848,0.402075226977951,0.503242542153048,0.830090791180285,0.411154345006485,0.507133592736706
"E01000256",0.946142649199418,0.946142649199418,0.285298398835517,0.426491994177584,0.937409024745269,0.20669577874818,0.561863173216885
"E01000257",0.998232174425457,0.998232174425457,0.0424278137890395,0.154390100176783,0.998232174425457,0.0718915733647613,0.20447849145551
"E01000258",0.939950980392157,0.939950980392157,0.394607843137255,0.207107843137255,0.938725490196078,0.136029411764706,0.513480392156863
"E01000259",1,1,0,0.0165369649805447,0.918287937743191,0.000972762645914397,0.0262645914396887
"E01000260",0.964028776978417,0.964028776978417,0.00959232613908873,0.0611510791366906,0.94484412470024,0.00959232613908873,0.0767386091127098
"E01000261",0.732432432432432,0.732432432432432,0.228378378378378,0,0.732432432432432,0,0.237837837837838
"E01000262",0.845161290322581,0.845161290322581,0.319061583577713,0.0545454545454545,0.777126099706745,0.0281524926686217,0.409384164222874
"E01000263",0.488679245283019,0.488679245283019,0,0,0.230188679245283,0,0
"E01000264",0.956962025316456,0.956962025316456,0,0,0.955696202531646,0,0
"E01000265",1,1,0,0,1,0,0
"E01000266",0.869070208728653,0.869070208728653,0.125237191650854,0.263757115749526,0.869070208728653,0.22011385199241,0.23719165085389
"E01000267",0.619365609348915,0.619365609348915,0,0,0.595993322203673,0,0
"E01000268",0.988675958188153,0.988675958188153,0.0165505226480836,0,0.157665505226481,0,0.039198606271777
"E01000269",0.937722419928826,0.937722419928826,0.119217081850534,0,0.736654804270463,0,0.140569395017794
"E01000270",0.927018633540373,0.927018633540373,0,0,0.350931677018634,0,0.0139751552795031
"E01000271",0.993893129770992,0.993893129770992,0.163358778625954,0.404580152671756,0.989312977099237,0.177099236641221,0.406106870229008
"E01000272",0.717712177121771,0.717712177121771,0.0645756457564576,0,0.693726937269373,0,0.127306273062731
"E01000273",0.827751196172249,0.827751196172249,0.0227272727272727,0.0586124401913876,0.824162679425837,0,0.148325358851675
"E01000274",0.497942386831276,0.497942386831276,0,0,0.497942386831276,0,0
"E01000275",1,1,0.0943661971830986,0.229577464788732,1,0.123943661971831,0.32112676056338
"E01000276",1,1,0.141453831041257,0.278978388998035,1,0.206286836935167,0.318271119842829
"E01000277",1,1,0,0,1,0,0.00108108108108108
"E01000278",0.857965451055662,0.857965451055662,0.017274472168906,0.0326295585412668,0.857965451055662,0.0191938579654511,0.0422264875239923
"E01000279",0.991197183098592,0.991197183098592,0.470070422535211,0.63556338028169,0.98943661971831,0.617957746478873,0.690140845070423
"E01000280",1,1,0.551789077212806,0.807909604519774,1,0.604519774011299,0.774011299435028
"E01000281",0.996666666666667,0.996666666666667,0,0.0116666666666667,0.996666666666667,0.00333333333333333,0.0975
"E01000282",1,1,0.337431693989071,0.595628415300546,1,0.551912568306011,0.819672131147541
"E01000283",1,1,0.351515151515152,0.624242424242424,1,0.583838383838384,0.83030303030303
"E01000284",1,1,0.468409586056645,0.62962962962963,1,0.503267973856209,0.708061002178649
"E01000285",1,1,0.112877583465819,0,0.503974562798092,0,0.154213036565978
"E01000286",1,1,0.0483162518301611,0.144948755490483,1,0.0805270863836018,0.240117130307467
"E01000287",1,1,0.0458135860979463,0,0.582938388625592,0,0.0963665086887836
"E01000288",1,1,0.326050420168067,0.295798319327731,0.816806722689076,0.354621848739496,0.598319327731092
"E01000289",1,1,0.0555555555555556,0,0.369883040935673,0,0.0921052631578947
"E01000290",0.663853727144866,0.663853727144866,0.0337552742616034,0,0.50210970464135,0,0.0337552742616034
