"lsoa11","all_gs_access_pct","all_with_row_gs_access_pct","doorstep_gs_access_pct","local_gs_access_pct","neighbourhood_gs_access_pct","combined_std_gs_access_pct","partialcombined_std_gs_access_pct"
"E01023355",0.911411411411411,0.998498498498498,0.214714714714715,0.321321321321321,0.911411411411411,0.214714714714715,0.397897897897898
"E01023356",0.488888888888889,0.991919191919192,0.123232323232323,0.15959595959596,0.488888888888889,0.127272727272727,0.204040404040404
"E01023357",1,1,0.316326530612245,0,0.0233236151603499,0,0.332361516034985
"E01023358",1,1,0.0611510791366906,0,0.107913669064748,0,0.0755395683453237
"E01023359",1,1,0.4209726443769,0,0.513677811550152,0,0.516717325227964
"E01023360",1,1,0.0747330960854092,0,0.396797153024911,0,0.101423487544484
"E01023361",1,1,0.190625,0.285416666666667,0.954166666666667,0.182291666666667,0.304166666666667
"E01023362",0.956130483689539,0.961754780652418,0.146231721034871,0.31496062992126,0.64904386951631,0.192350956130484,0.318335208098988
"E01023363",1,1,0.0227272727272727,0.0575757575757576,1,0.0227272727272727,0.0818181818181818
"E01023364",1,1,0.0872093023255814,0.180232558139535,1,0.0775193798449612,0.168604651162791
"E01023365",1,1,0.338735818476499,0,0.80064829821718,0,0.359805510534846
"E01023366",0.993984962406015,0.993984962406015,0,0,0.087218045112782,0,0.0150375939849624
"E01023367",0.951724137931034,0.988505747126437,0.0252873563218391,0.0137931034482759,0,0,0.0459770114942529
"E01023368",1,1,0.108072916666667,0.0807291666666667,1,0.00520833333333333,0.204427083333333
"E01023369",0.229938271604938,1,0.00462962962962963,0,0.0601851851851852,0,0.037037037037037
"E01023370",0.938168846611177,1,0.110582639714625,0.00951248513674197,0.933412604042806,0.00475624256837099,0.167657550535077
"E01023371",0.0887480190174326,0.724247226624406,0.13946117274168,0,0.0412044374009509,0,0.160063391442155
"E01023372",0.624365482233503,0.77326565143824,0.00338409475465313,0.0152284263959391,0.228426395939086,0,0.00846023688663283
"E01023373",0.897651006711409,0.901006711409396,0.419463087248322,0.0335570469798658,0.063758389261745,0.00671140939597315,0.458053691275168
"E01023374",0.849293563579278,0.989010989010989,0.599686028257457,0.580847723704867,0.182103610675039,0.117739403453689,0.706436420722135
"E01023375",0.724431818181818,1,0.142045454545455,0.197443181818182,0.724431818181818,0.166193181818182,0.220170454545455
"E01023376",1,1,0.162213740458015,0.219465648854962,0.610687022900763,0.0877862595419847,0.343511450381679
"E01023377",0.632978723404255,0.978723404255319,0.342198581560284,0.409574468085106,0.512411347517731,0.304964539007092,0.514184397163121
"E01023378",0.823855755894591,0.973647711511789,0.356449375866852,0.578363384188627,0.823855755894591,0.49375866851595,0.656033287101248
"E01023379",1,1,0.229166666666667,0.611111111111111,1,0.302777777777778,0.694444444444444
"E01023380",0.998137802607076,0.998137802607076,0,0.031657355679702,0.983240223463687,0.0074487895716946,0.0726256983240224
"E01023381",0.968518518518519,0.968518518518519,0.012962962962963,0.111111111111111,0.961111111111111,0.0481481481481481,0.153703703703704
"E01023382",0.998650472334683,0.998650472334683,0.229419703103914,0.34412955465587,0.998650472334683,0.225371120107962,0.394062078272605
"E01023383",0.98538961038961,0.99512987012987,0.11525974025974,0.12012987012987,0.978896103896104,0.0535714285714286,0.215909090909091
"E01023384",1,1,0.406289308176101,0.738364779874214,1,0.477987421383648,0.821383647798742
"E01023385",1,1,0.672489082969432,0.800582241630277,1,0.704512372634643,0.90684133915575
"E01023386",1,1,0.0602605863192182,0.127035830618893,1,0.0928338762214984,0.104234527687296
"E01023387",0.898635477582846,0.898635477582846,0.518518518518518,0,0.884990253411306,0,0.543859649122807
"E01023388",0.973134328358209,0.973134328358209,0.149253731343284,0.288059701492537,0.973134328358209,0.23134328358209,0.362686567164179
"E01023389",1,1,0,0.00294985250737463,0.783185840707965,0,0.0309734513274336
"E01023390",1,1,0.159955257270694,0.0715883668903803,0.979865771812081,0.0413870246085011,0.239373601789709
"E01023391",1,1,0.208273894436519,0.293865905848787,1,0.126961483594864,0.487874465049929
"E01023392",1,1,0.134699853587116,0.00146412884333821,0.30307467057101,0.00146412884333821,0.202049780380674
"E01023393",1,1,0.523419203747073,0.516393442622951,1,0.428571428571429,0.814988290398126
"E01023394",1,1,0.398095238095238,0.28,1,0.184761904761905,0.672380952380952
"E01023395",1,1,0.883435582822086,1,1,0.929447852760736,1
